config,epoch,epoch_type,num_tainted_batches,avg_total_time_ms,avg_forward_time_ms,avg_taint_ratio,avg_kde_eligible_edges,avg_edges_reduced,total_kde_eligible_edges,total_edges_reduced
kairos_cicids_red,0,best,3422,81.037,81.037,0.187083,67.65,64.94,231500,222211
orthrus_cicids_red,0,best,3422,76.9855,76.9855,0.614909,261.07,250.17,893381,856077
kairos_cicids_kde_diff,0,best,3416,60.698,60.698,0.155569,55.54,55.54,189719,189719
orthrus_cicids_kde_diff,5,best,3422,57.3513,57.3513,0.40581,163.86,163.86,560726,560726
kairos_cicids_kde_ts,0,best,3416,62.8771,62.8771,0.155569,55.54,55.54,189719,189719
orthrus_cicids_kde_ts,9,best,3422,58.2735,58.2735,0.40581,163.86,163.86,560726,560726
kairos_cicids,1,best,3422,77.0611,77.0611,0.187083,67.65,64.94,231500,222211
kairos_cicids_red,11,last,3422,81.7864,81.7864,0.187083,67.65,64.94,231500,222211
orthrus_cicids_red,11,last,3422,74.0091,74.0091,0.614909,261.07,250.17,893381,856077
kairos_cicids_kde_diff,11,last,3416,63.5006,63.5006,0.155569,55.54,55.54,189719,189719
orthrus_cicids_kde_diff,11,last,3422,60.2923,60.2923,0.40581,163.86,163.86,560726,560726
kairos_cicids_kde_ts,11,last,3416,63.6047,63.6047,0.155569,55.54,55.54,189719,189719
orthrus_cicids_kde_ts,11,last,3422,57.6901,57.6901,0.40581,163.86,163.86,560726,560726
kairos_cicids,11,last,3422,82.2105,82.2105,0.187083,67.65,64.94,231500,222211
