config,epoch,num_tainted_batches,avg_total_time_ms,avg_forward_time_ms,avg_backward_time_ms,avg_taint_ratio,avg_kde_eligible_edges,avg_edges_reduced,total_kde_eligible_edges,total_edges_reduced
kairos_cicids_red,0,286,103.2833,95.1878,8.0956,0.186153,85.37,83.43,24417,23862
kairos_cicids_red,1,286,101.1563,93.3907,7.7656,0.186153,85.37,83.43,24417,23862
kairos_cicids_red,2,286,101.7666,93.9602,7.8064,0.186153,85.37,83.43,24417,23862
kairos_cicids_red,3,286,102.1629,94.3239,7.8389,0.186153,85.37,83.43,24417,23862
kairos_cicids_red,4,286,101.6288,93.8497,7.7791,0.186153,85.37,83.43,24417,23862
kairos_cicids_red,5,286,102.1416,94.359,7.7826,0.186153,85.37,83.43,24417,23862
kairos_cicids_red,6,286,100.6259,93.3443,7.2816,0.186153,85.37,83.43,24417,23862
kairos_cicids_red,7,286,98.9937,92.0299,6.9637,0.186153,85.37,83.43,24417,23862
kairos_cicids_red,8,286,97.7321,90.7876,6.9445,0.186153,85.37,83.43,24417,23862
kairos_cicids_red,9,286,98.4143,91.438,6.9763,0.186153,85.37,83.43,24417,23862
kairos_cicids_red,10,286,98.0513,91.1315,6.9198,0.186153,85.37,83.43,24417,23862
kairos_cicids_red,11,286,98.4506,91.5093,6.9413,0.186153,85.37,83.43,24417,23862
kairos_cicids_red,ALL,3432,100.3673,92.9427,7.4246,0.186153,85.37,83.43,293004,286344
orthrus_cicids_red,0,286,126.1101,119.0137,7.0963,1.0,526.66,502.81,150624,143804
orthrus_cicids_red,1,286,95.8478,89.1426,6.7052,1.0,526.66,502.81,150624,143804
orthrus_cicids_red,2,286,95.8774,89.2344,6.643,1.0,526.66,502.81,150624,143804
orthrus_cicids_red,3,286,97.1718,90.5004,6.6713,1.0,526.66,502.81,150624,143804
orthrus_cicids_red,4,286,97.3063,90.6029,6.7034,1.0,526.66,502.81,150624,143804
orthrus_cicids_red,5,286,96.74,90.1005,6.6394,1.0,526.66,502.81,150624,143804
orthrus_cicids_red,6,286,96.2943,89.6073,6.687,1.0,526.66,502.81,150624,143804
orthrus_cicids_red,7,286,96.2326,89.5486,6.684,1.0,526.66,502.81,150624,143804
orthrus_cicids_red,8,286,98.8538,92.2111,6.6427,1.0,526.66,502.81,150624,143804
orthrus_cicids_red,9,286,96.008,89.3421,6.6659,1.0,526.66,502.81,150624,143804
orthrus_cicids_red,10,286,95.7232,89.0662,6.6569,1.0,526.66,502.81,150624,143804
orthrus_cicids_red,11,286,96.0078,89.3848,6.623,1.0,526.66,502.81,150624,143804
orthrus_cicids_red,ALL,3432,99.0144,92.3129,6.7015,1.0,526.66,502.81,1807488,1725648
kairos_cicids_kde_diff,0,286,80.0849,72.609,7.4758,0.156974,71.56,71.56,20466,20466
kairos_cicids_kde_diff,1,286,80.4697,72.5424,7.9273,0.156974,71.56,71.56,20466,20466
kairos_cicids_kde_diff,2,286,81.1737,74.0518,7.1218,0.156974,71.56,71.56,20466,20466
kairos_cicids_kde_diff,3,286,80.3963,73.2984,7.0979,0.156974,71.56,71.56,20466,20466
kairos_cicids_kde_diff,4,286,94.1734,85.8533,8.3201,0.156974,71.56,71.56,20466,20466
kairos_cicids_kde_diff,5,286,93.2342,84.9012,8.333,0.156974,71.56,71.56,20466,20466
kairos_cicids_kde_diff,6,286,87.2682,78.9139,8.3543,0.156974,71.56,71.56,20466,20466
kairos_cicids_kde_diff,7,286,84.7302,76.5629,8.1672,0.156974,71.56,71.56,20466,20466
kairos_cicids_kde_diff,8,286,81.0703,73.1929,7.8773,0.156974,71.56,71.56,20466,20466
kairos_cicids_kde_diff,9,286,79.383,71.4634,7.9196,0.156974,71.56,71.56,20466,20466
kairos_cicids_kde_diff,10,286,87.6641,79.6163,8.0478,0.156974,71.56,71.56,20466,20466
kairos_cicids_kde_diff,11,286,85.1653,77.136,8.0294,0.156974,71.56,71.56,20466,20466
kairos_cicids_kde_diff,ALL,3432,84.5678,76.6785,7.8893,0.156974,71.56,71.56,245592,245592
orthrus_cicids_kde_diff,0,286,79.886,73.1818,6.7042,0.572975,288.83,288.83,82604,82604
orthrus_cicids_kde_diff,1,286,76.2201,69.4624,6.7577,0.572975,288.83,288.83,82604,82604
orthrus_cicids_kde_diff,2,286,73.1978,66.4916,6.7062,0.572975,288.83,288.83,82604,82604
orthrus_cicids_kde_diff,3,286,73.7698,66.9839,6.7859,0.572975,288.83,288.83,82604,82604
orthrus_cicids_kde_diff,4,286,73.7869,67.1178,6.6691,0.572975,288.83,288.83,82604,82604
orthrus_cicids_kde_diff,5,286,73.4516,66.7886,6.663,0.572975,288.83,288.83,82604,82604
orthrus_cicids_kde_diff,6,286,77.7954,70.7693,7.0261,0.572975,288.83,288.83,82604,82604
orthrus_cicids_kde_diff,7,286,77.3807,70.4431,6.9376,0.572975,288.83,288.83,82604,82604
orthrus_cicids_kde_diff,8,286,73.177,66.6108,6.5662,0.572975,288.83,288.83,82604,82604
orthrus_cicids_kde_diff,9,286,73.345,66.9479,6.397,0.572975,288.83,288.83,82604,82604
orthrus_cicids_kde_diff,10,286,71.2841,64.8287,6.4554,0.572975,288.83,288.83,82604,82604
orthrus_cicids_kde_diff,11,286,76.0433,68.7733,7.2699,0.572975,288.83,288.83,82604,82604
orthrus_cicids_kde_diff,ALL,3432,74.9448,68.1999,6.7449,0.572975,288.83,288.83,991248,991248
kairos_cicids_kde_ts,0,286,80.1763,72.3726,7.8037,0.156974,71.56,71.56,20466,20466
kairos_cicids_kde_ts,1,286,87.2582,79.6318,7.6264,0.156974,71.56,71.56,20466,20466
kairos_cicids_kde_ts,2,286,83.8169,75.4705,8.3463,0.156974,71.56,71.56,20466,20466
kairos_cicids_kde_ts,3,286,83.6329,75.2654,8.3675,0.156974,71.56,71.56,20466,20466
kairos_cicids_kde_ts,4,286,91.3613,83.712,7.6493,0.156974,71.56,71.56,20466,20466
kairos_cicids_kde_ts,5,286,82.5155,75.4393,7.0762,0.156974,71.56,71.56,20466,20466
kairos_cicids_kde_ts,6,286,87.5639,80.0768,7.4871,0.156974,71.56,71.56,20466,20466
kairos_cicids_kde_ts,7,286,87.7507,80.4213,7.3293,0.156974,71.56,71.56,20466,20466
kairos_cicids_kde_ts,8,286,83.9474,76.5642,7.3832,0.156974,71.56,71.56,20466,20466
kairos_cicids_kde_ts,9,286,81.2925,74.2993,6.9932,0.156974,71.56,71.56,20466,20466
kairos_cicids_kde_ts,10,286,87.964,80.1921,7.7719,0.156974,71.56,71.56,20466,20466
kairos_cicids_kde_ts,11,286,86.913,79.1932,7.7198,0.156974,71.56,71.56,20466,20466
kairos_cicids_kde_ts,ALL,3432,85.3494,77.7199,7.6295,0.156974,71.56,71.56,245592,245592
orthrus_cicids_kde_ts,0,286,98.6724,91.9504,6.722,0.572975,288.83,288.83,82604,82604
orthrus_cicids_kde_ts,1,286,72.4076,65.7899,6.6177,0.572975,288.83,288.83,82604,82604
orthrus_cicids_kde_ts,2,286,71.0293,64.6011,6.4281,0.572975,288.83,288.83,82604,82604
orthrus_cicids_kde_ts,3,286,69.9789,63.8508,6.1281,0.572975,288.83,288.83,82604,82604
orthrus_cicids_kde_ts,4,286,69.7262,64.1598,5.5665,0.572975,288.83,288.83,82604,82604
orthrus_cicids_kde_ts,5,286,69.433,63.8985,5.5344,0.572975,288.83,288.83,82604,82604
